Tm,W,L,T,Position,Reason
New England Patriots (1),14,2,0,East Champion,
Pittsburgh Steelers (2),12,4,0,North Champion,division win percentage
Indianapolis Colts (3),10,6,0,South Champion,head-to-head record
Kansas City Chiefs (4),10,6,0,West Champion,
Baltimore Ravens (5),12,4,0,Wild Card #1,
New York Jets (6),11,5,0,Wild Card #2,
San Diego Chargers,9,7,0,,
Jacksonville Jaguars,8,8,0,,head-to-head record
Oakland Raiders,8,8,0,,
Miami Dolphins,7,9,0,,
Houston Texans,6,10,0,,division win percentage
Tennessee Titans,6,10,0,,
Cleveland Browns,5,11,0,,
Denver Broncos,4,12,0,,strength of victory
Buffalo Bills,4,12,0,,head-to-head record
Cincinnati Bengals,4,12,0,,
