Tm,W,L,T,Position,Reason
New York Giants (1),12,4,0,East Champion,head-to-head record
Carolina Panthers (2),12,4,0,South Champion,
Minnesota Vikings (3),10,6,0,North Champion,
Arizona Cardinals (4),9,7,0,West Champion,
Atlanta Falcons (5),11,5,0,Wild Card #1,
Philadelphia Eagles (6),9,6,1,Wild Card #2,
Tampa Bay Buccaneers,9,7,0,,conference win percentage
Dallas Cowboys,9,7,0,,strength of victory
Chicago Bears,9,7,0,,
Washington Redskins,8,8,0,,head-to-head record
New Orleans Saints,8,8,0,,
San Francisco 49ers,7,9,0,,
Green Bay Packers,6,10,0,,
Seattle Seahawks,4,12,0,,
St. Louis Rams,2,14,0,,
Detroit Lions,0,16,0,,
