Tm,W,L,T,Position,Reason
New England Patriots (1),13,3,0,East Champion,
Baltimore Ravens (2),12,4,0,North Champion,head-to-head record
Houston Texans (3),10,6,0,South Champion,
Denver Broncos (4),8,8,0,West Champion,win percentage in common games
Pittsburgh Steelers (5),12,4,0,Wild Card #1,
Cincinnati Bengals (6),9,7,0,Wild Card #2,head-to-head record
Tennessee Titans,9,7,0,,
New York Jets,8,8,0,,head-to-head record
San Diego Chargers,8,8,0,,conference win percentage
Oakland Raiders,8,8,0,,
Kansas City Chiefs,7,9,0,,
Miami Dolphins,6,10,0,,head-to-head record
Buffalo Bills,6,10,0,,
Jacksonville Jaguars,5,11,0,,
Cleveland Browns,4,12,0,,
Indianapolis Colts,2,14,0,,
