Tm,W,L,T,Position,Reason
Seattle Seahawks (1),13,3,0,West Champion,
Carolina Panthers (2),12,4,0,South Champion,
Philadelphia Eagles (3),10,6,0,East Champion,
Green Bay Packers (4),8,7,1,North Champion,
San Francisco 49ers (5),12,4,0,Wild Card #1,
New Orleans Saints (6),11,5,0,Wild Card #2,
Arizona Cardinals,10,6,0,,
Chicago Bears,8,8,0,,head-to-head record
Dallas Cowboys,8,8,0,,
New York Giants,7,9,0,,head-to-head record
Detroit Lions,7,9,0,,conference win percentage
St. Louis Rams,7,9,0,,
Minnesota Vikings,5,10,1,,
Atlanta Falcons,4,12,0,,conference win percentage
Tampa Bay Buccaneers,4,12,0,,
Washington Redskins,3,13,0,,
