Tm,W,L,T,Position,Reason
Denver Broncos (1),13,3,0,West Champion,
New England Patriots (2),12,4,0,East Champion,
Cincinnati Bengals (3),11,5,0,North Champion,head-to-head record
Indianapolis Colts (4),11,5,0,South Champion,
Kansas City Chiefs (5),11,5,0,Wild Card #1,
San Diego Chargers (6),9,7,0,Wild Card #2,
Pittsburgh Steelers,8,8,0,,head-to-head record
Baltimore Ravens,8,8,0,,head-to-head record
New York Jets,8,8,0,,division win percentage
Miami Dolphins,8,8,0,,
Tennessee Titans,7,9,0,,
Buffalo Bills,6,10,0,,
Oakland Raiders,4,12,0,,head-to-head record
Jacksonville Jaguars,4,12,0,,head-to-head record
Cleveland Browns,4,12,0,,
Houston Texans,2,14,0,,
