Tm,W,L,T,Position,Reason
Chicago Bears (1),13,3,0,North Champion,
New Orleans Saints (2),10,6,0,South Champion,head-to-head record
Philadelphia Eagles (3),10,6,0,East Champion,
Seattle Seahawks (4),9,7,0,West Champion,
Dallas Cowboys (5),9,7,0,Wild Card #1,
New York Giants (6),8,8,0,Wild Card #2,strength of victory
Green Bay Packers,8,8,0,,conference win percentage
Carolina Panthers,8,8,0,,head-to-head record
St. Louis Rams,8,8,0,,
San Francisco 49ers,7,9,0,,strength of victory
Atlanta Falcons,7,9,0,,
Minnesota Vikings,6,10,0,,
Arizona Cardinals,5,11,0,,conference win percentage
Washington Redskins,5,11,0,,
Tampa Bay Buccaneers,4,12,0,,
Detroit Lions,3,13,0,,
