Tm,W,L,T,Position,Reason
Indianapolis Colts (1),14,2,0,South Champion,
San Diego Chargers (2),13,3,0,West Champion,
New England Patriots (3),10,6,0,East Champion,strength of victory
Cincinnati Bengals (4),10,6,0,North Champion,
New York Jets (5),9,7,0,Wild Card #1,win percentage in common games
Baltimore Ravens (6),9,7,0,Wild Card #2,conference win percentage
Houston Texans,9,7,0,,win percentage in common games
Pittsburgh Steelers,9,7,0,,
Denver Broncos,8,8,0,,conference win percentage
Tennessee Titans,8,8,0,,
Miami Dolphins,7,9,0,,head-to-head record
Jacksonville Jaguars,7,9,0,,
Buffalo Bills,6,10,0,,
Cleveland Browns,5,11,0,,head-to-head record
Oakland Raiders,5,11,0,,
Kansas City Chiefs,4,12,0,,
