Tm,W,L,T,Position,Reason
Indianapolis Colts (1),14,2,0,South Champion,
Denver Broncos (2),13,3,0,West Champion,
Cincinnati Bengals (3),11,5,0,North Champion,division win percentage
New England Patriots (4),10,6,0,East Champion,
Jacksonville Jaguars (5),12,4,0,Wild Card #1,
Pittsburgh Steelers (6),11,5,0,Wild Card #2,
Kansas City Chiefs,10,6,0,,
Miami Dolphins,9,7,0,,head-to-head record
San Diego Chargers,9,7,0,,
Baltimore Ravens,6,10,0,,division win percentage
Cleveland Browns,6,10,0,,
Buffalo Bills,5,11,0,,
New York Jets,4,12,0,,win percentage in common games
Oakland Raiders,4,12,0,,head-to-head record
Tennessee Titans,4,12,0,,
Houston Texans,2,14,0,,
