Tm,W,L,T,Position,Reason
Seattle Seahawks (1),12,4,0,West Champion,conference win percentage
Green Bay Packers (2),12,4,0,North Champion,conference win percentage
Dallas Cowboys (3),12,4,0,East Champion,
Carolina Panthers (4),7,8,1,South Champion,
Arizona Cardinals (5),11,5,0,Wild Card #1,head-to-head record
Detroit Lions (6),11,5,0,Wild Card #2,
Philadelphia Eagles,10,6,0,,
San Francisco 49ers,8,8,0,,
New Orleans Saints,7,9,0,,head-to-head record
Minnesota Vikings,7,9,0,,
New York Giants,6,10,0,,head-to-head record
Atlanta Falcons,6,10,0,,conference win percentage
St. Louis Rams,6,10,0,,
Chicago Bears,5,11,0,,
Washington Redskins,4,12,0,,
Tampa Bay Buccaneers,2,14,0,,
