Tm,W,L,T,Position,Reason
Dallas Cowboys (1),13,3,0,East Champion,head-to-head record
Green Bay Packers (2),13,3,0,North Champion,
Seattle Seahawks (3),10,6,0,West Champion,
Tampa Bay Buccaneers (4),9,7,0,South Champion,
New York Giants (5),10,6,0,Wild Card #1,
Washington Redskins (6),9,7,0,Wild Card #2,
Minnesota Vikings,8,8,0,,conference win percentage
Philadelphia Eagles,8,8,0,,win percentage in common games
Arizona Cardinals,8,8,0,,
Carolina Panthers,7,9,0,,conference win percentage
New Orleans Saints,7,9,0,,conference win percentage
Detroit Lions,7,9,0,,head-to-head record
Chicago Bears,7,9,0,,
San Francisco 49ers,5,11,0,,
Atlanta Falcons,4,12,0,,
St. Louis Rams,3,13,0,,
