Tm,W,L,T,Position,Reason
Philadelphia Eagles (1),13,3,0,East Champion,
Atlanta Falcons (2),11,5,0,South Champion,
Green Bay Packers (3),10,6,0,North Champion,
Seattle Seahawks (4),9,7,0,West Champion,
St. Louis Rams (5),8,8,0,Wild Card #1,conference win percentage
Minnesota Vikings (6),8,8,0,Wild Card #2,head-to-head record
New Orleans Saints,8,8,0,,
Carolina Panthers,7,9,0,,
Detroit Lions,6,10,0,,head-to-head record
Arizona Cardinals,6,10,0,,head-to-head record
New York Giants,6,10,0,,head-to-head record
Dallas Cowboys,6,10,0,,head-to-head record
Washington Redskins,6,10,0,,
Tampa Bay Buccaneers,5,11,0,,head-to-head record
Chicago Bears,5,11,0,,
San Francisco 49ers,2,14,0,,
