Tm,W,L,T,Position,Reason
New England Patriots (1),16,0,0,East Champion,
Indianapolis Colts (2),13,3,0,South Champion,
San Diego Chargers (3),11,5,0,West Champion,
Pittsburgh Steelers (4),10,6,0,North Champion,head-to-head record
Jacksonville Jaguars (5),11,5,0,Wild Card #1,
Tennessee Titans (6),10,6,0,Wild Card #2,win percentage in common games
Cleveland Browns,10,6,0,,
Houston Texans,8,8,0,,
Denver Broncos,7,9,0,,strength of victory
Buffalo Bills,7,9,0,,head-to-head record
Cincinnati Bengals,7,9,0,,
Baltimore Ravens,5,11,0,,
New York Jets,4,12,0,,head-to-head record
Kansas City Chiefs,4,12,0,,win percentage in common games
Oakland Raiders,4,12,0,,
Miami Dolphins,1,15,0,,
