Tm,W,L,T,Position,Reason
Green Bay Packers (1),15,1,0,North Champion,
San Francisco 49ers (2),13,3,0,West Champion,conference win percentage
New Orleans Saints (3),13,3,0,South Champion,
New York Giants (4),9,7,0,East Champion,
Atlanta Falcons (5),10,6,0,Wild Card #1,head-to-head record
Detroit Lions (6),10,6,0,Wild Card #2,
Chicago Bears,8,8,0,,win percentage in common games
Arizona Cardinals,8,8,0,,head-to-head record
Philadelphia Eagles,8,8,0,,head-to-head record
Dallas Cowboys,8,8,0,,
Seattle Seahawks,7,9,0,,
Carolina Panthers,6,10,0,,
Washington Redskins,5,11,0,,
Tampa Bay Buccaneers,4,12,0,,
Minnesota Vikings,3,13,0,,
St. Louis Rams,2,14,0,,
