Tm,W,L,T,Position,Reason
Atlanta Falcons (1),13,3,0,South Champion,
San Francisco 49ers (2),11,4,1,West Champion,
Green Bay Packers (3),11,5,0,North Champion,
Washington Redskins (4),10,6,0,East Champion,
Seattle Seahawks (5),11,5,0,Wild Card #1,
Minnesota Vikings (6),10,6,0,Wild Card #2,division win percentage
Chicago Bears,10,6,0,,
New York Giants,9,7,0,,
Dallas Cowboys,8,8,0,,
St. Louis Rams,7,8,1,,
Carolina Panthers,7,9,0,,head-to-head record
New Orleans Saints,7,9,0,,head-to-head record
Tampa Bay Buccaneers,7,9,0,,
Arizona Cardinals,5,11,0,,
Detroit Lions,4,12,0,,head-to-head record
Philadelphia Eagles,4,12,0,,
