Tm,W,L,T,Position,Reason
Denver Broncos (1),13,3,0,West Champion,
New England Patriots (2),12,4,0,East Champion,head-to-head record
Houston Texans (3),12,4,0,South Champion,
Baltimore Ravens (4),10,6,0,North Champion,division win percentage
Indianapolis Colts (5),11,5,0,Wild Card #1,
Cincinnati Bengals (6),10,6,0,Wild Card #2,
Pittsburgh Steelers,8,8,0,,
San Diego Chargers,7,9,0,,conference win percentage
Miami Dolphins,7,9,0,,
Tennessee Titans,6,10,0,,head-to-head record
New York Jets,6,10,0,,win percentage in common games
Buffalo Bills,6,10,0,,
Cleveland Browns,5,11,0,,
Oakland Raiders,4,12,0,,
Jacksonville Jaguars,2,14,0,,conference win percentage
Kansas City Chiefs,2,14,0,,
