Tm,W,L,T,Position,Reason
New Orleans Saints (1),13,3,0,South Champion,
Minnesota Vikings (2),12,4,0,North Champion,
Dallas Cowboys (3),11,5,0,East Champion,head-to-head record
Arizona Cardinals (4),10,6,0,West Champion,
Green Bay Packers (5),11,5,0,Wild Card #1,win percentage in common games
Philadelphia Eagles (6),11,5,0,Wild Card #2,
Atlanta Falcons,9,7,0,,
Carolina Panthers,8,8,0,,conference win percentage
San Francisco 49ers,8,8,0,,conference win percentage
New York Giants,8,8,0,,
Chicago Bears,7,9,0,,
Seattle Seahawks,5,11,0,,
Washington Redskins,4,12,0,,
Tampa Bay Buccaneers,3,13,0,,
Detroit Lions,2,14,0,,
St. Louis Rams,1,15,0,,
