Tm,W,L,T,Position,Reason
Seattle Seahawks (1),13,3,0,West Champion,
Chicago Bears (2),11,5,0,North Champion,conference win percentage
Tampa Bay Buccaneers (3),11,5,0,South Champion,"division win percentage, conference win percentage"
New York Giants (4),11,5,0,East Champion,
Carolina Panthers (5),11,5,0,Wild Card #1,
Washington Redskins (6),10,6,0,Wild Card #2,
Minnesota Vikings,9,7,0,,conference win percentage
Dallas Cowboys,9,7,0,,
Atlanta Falcons,8,8,0,,
Philadelphia Eagles,6,10,0,,head-to-head record
St. Louis Rams,6,10,0,,
Detroit Lions,5,11,0,,head-to-head record
Arizona Cardinals,5,11,0,,
Green Bay Packers,4,12,0,,conference win percentage
San Francisco 49ers,4,12,0,,
New Orleans Saints,3,13,0,,
